date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:52	60174/60174	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:21%20GMT	https://zcube.in/xadvices/js/bootstrap.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/bootstrap.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:53	3240/3240	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:27%20GMT	https://zcube.in/xadvices/js/one-page-nav-min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/one-page-nav-min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:54	42863/42863	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:32%20GMT	https://zcube.in/xadvices/js/slick.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/slick.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:55	1202/1202	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:20%20GMT	https://zcube.in/xadvices/js/ajax-form.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/ajax-form.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:56	8806/8806	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:29%20GMT	https://zcube.in/xadvices/js/paroller.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/paroller.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:57	8415/8415	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:19%20GMT	https://zcube.in/xadvices/js/wow.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/wow.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:58	35503/35503	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:25%20GMT	https://zcube.in/xadvices/js/js_isotope.pkgd.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/js_isotope.pkgd.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:02:59	8113/8113	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:22%20GMT	https://zcube.in/xadvices/js/imagesloaded.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/imagesloaded.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:03:00	12293/12293	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:28%20GMT	https://zcube.in/xadvices/js/parallax.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/parallax.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:03:01	8044/8044	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:25%20GMT	https://zcube.in/xadvices/js/jquery.waypoints.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/jquery.waypoints.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
22:03:02	1067/1067	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2011%20Aug%202022%2010:51:22%20GMT	https://zcube.in/xadvices/js/jquery.counterup.min.js	/Users/abdulrahman/Downloads/advices/zcube.in/xadvices/js/jquery.counterup.min.js	(from https://zcube.in/xadvices/?storefront=envato-elements)
